ImageNumber,ObjectNumber,Metadata_Channel,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_compound,Metadata_concentration,Metadata_imageBaseName,Metadata_pathBase,Metadata_plateName,Metadata_platePath,Metadata_posNum,Metadata_posPath,Metadata_timeNum,Metadata_wellNum,Metadata_wellNum,Metadata_wellPath,AreaShape_Center_X,AreaShape_Center_Y,Math_area_micronsq,TrackObjects_Label_4
204,1,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0030--fsk_770--2/P001--fsk_770--2/demoplate_01--fsk_770--2--W0030--P001--T0000--C00.tif,0,0,fsk_770,2,demoplate_01--fsk_770--2--W0030--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--2,0000,0030,0030,W0030--fsk_770--2,65.0,2.0,1345.1443740000002,1.0
204,2,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0030--fsk_770--2/P001--fsk_770--2/demoplate_01--fsk_770--2--W0030--P001--T0000--C00.tif,0,0,fsk_770,2,demoplate_01--fsk_770--2--W0030--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--2,0000,0030,0030,W0030--fsk_770--2,416.0,7.0,3387.771016,2.0
204,3,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0030--fsk_770--2/P001--fsk_770--2/demoplate_01--fsk_770--2--W0030--P001--T0000--C00.tif,0,0,fsk_770,2,demoplate_01--fsk_770--2--W0030--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--2,0000,0030,0030,W0030--fsk_770--2,267.0,25.0,9465.83078,3.0
204,4,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0030--fsk_770--2/P001--fsk_770--2/demoplate_01--fsk_770--2--W0030--P001--T0000--C00.tif,0,0,fsk_770,2,demoplate_01--fsk_770--2--W0030--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--2,0000,0030,0030,W0030--fsk_770--2,75.0,31.0,3288.130692,4.0
204,5,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0030--fsk_770--2/P001--fsk_770--2/demoplate_01--fsk_770--2--W0030--P001--T0000--C00.tif,0,0,fsk_770,2,demoplate_01--fsk_770--2--W0030--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--2,0000,0030,0030,W0030--fsk_770--2,294.0,54.0,946.5830780000001,5.0
204,6,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0030--fsk_770--2/P001--fsk_770--2/demoplate_01--fsk_770--2--W0030--P001--T0000--C00.tif,0,0,fsk_770,2,demoplate_01--fsk_770--2--W0030--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--2,0000,0030,0030,W0030--fsk_770--2,205.0,59.0,8818.168674,6.0
204,7,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0030--fsk_770--2/P001--fsk_770--2/demoplate_01--fsk_770--2--W0030--P001--T0000--C00.tif,0,0,fsk_770,2,demoplate_01--fsk_770--2--W0030--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--2,0000,0030,0030,W0030--fsk_770--2,352.0,67.0,10536.964263,7.0
204,8,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0030--fsk_770--2/P001--fsk_770--2/demoplate_01--fsk_770--2--W0030--P001--T0000--C00.tif,0,0,fsk_770,2,demoplate_01--fsk_770--2--W0030--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--2,0000,0030,0030,W0030--fsk_770--2,350.0,82.0,3811.2423930000004,nan
204,9,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0030--fsk_770--2/P001--fsk_770--2/demoplate_01--fsk_770--2--W0030--P001--T0000--C00.tif,0,0,fsk_770,2,demoplate_01--fsk_770--2--W0030--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--2,0000,0030,0030,W0030--fsk_770--2,337.0,81.0,2889.5693960000003,9.0
204,10,00,file:///C:/FIS/demo_dataset/03-images_renamed/demoplate_01/W0030--fsk_770--2/P001--fsk_770--2/demoplate_01--fsk_770--2--W0030--P001--T0000--C00.tif,0,0,fsk_770,2,demoplate_01--fsk_770--2--W0030--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--2,0000,0030,0030,W0030--fsk_770--2,30.0,85.0,1594.245184,10.0
